tempo,swing,density,dynamic_range,energy,mean_note_length,std_note_length,velocity_mean,velocity_std,pitch_mean,pitch_range,avg_polyphony,syncopation,onset_entropy,instrument_count,mood,timing_feel,rhythmic_density,dynamic_intensity,fill_activity,fx_character,timestamp
170.0003,0.0190,14.9421,67.0000,6.5161,0.2536,0.4250,114.0366,6.4456,50.3862,67,3.8785,0.0121,1.1560,8,chill,1,3,0,6,0,2025-07-02T21:31:42.719498
117.6319,0.0612,9.0630,86.0000,5.0863,0.3856,0.2942,88.3107,16.7613,58.9811,69,2.2584,0.0201,1.0454,2,chill,1,2,0,6,0,2025-07-02T21:31:42.794589
160.0000,0.1333,26.0583,31.0000,8.4017,0.3321,0.2223,100.9393,9.8890,49.0529,46,6.2323,0.0059,0.5570,4,chill,1,3,0,6,0,2025-07-02T21:31:42.874658
192.0000,0.0272,11.7670,91.0000,5.9165,0.2125,0.2380,107.9163,6.5247,47.4267,52,1.7695,0.0112,1.0275,13,chill,1,3,0,6,0,2025-07-02T21:31:43.126607
165.0002,0.0212,14.2273,89.0000,6.2644,0.1278,0.1749,96.8604,10.8670,64.3790,69,1.7228,0.0051,0.9516,1,chill,0,3,0,6,0,2025-07-02T21:31:43.229231
73.0481,0.0122,11.2213,113.0000,6.2869,0.4195,1.2723,94.6492,20.7385,54.2737,57,6.2475,0.0198,0.6030,15,chill,1,3,0,6,0,2025-07-02T21:31:43.488827
103.3334,0.0813,18.0070,126.0000,8.0428,0.4610,0.7327,93.3465,19.1409,57.3241,84,8.5636,0.0152,0.3979,13,chill,1,3,0,6,0,2025-07-02T21:31:43.721171
60.0000,0.0417,13.9930,0.0000,6.0494,0.6750,0.8957,127.0000,0.0000,60.3244,91,9.2513,0.0283,0.0213,9,chill,1,3,0,6,0,2025-07-02T21:31:43.910267
170.0001,0.0507,25.4224,16.0000,8.1885,0.1488,0.1248,126.9939,0.3125,49.5649,52,3.6775,0.0050,0.9310,4,chill,1,3,0,6,0,2025-07-02T21:31:44.048525
120.0000,0.0345,32.1441,76.0000,10.1132,0.1195,0.1522,100.8101,22.5818,55.1084,62,4.5391,0.0040,0.6361,8,chill,1,3,0,6,0,2025-07-02T21:31:44.318369
130.0024,0.0161,12.3278,109.0000,6.0035,0.1289,0.1235,84.5715,14.7992,59.2334,64,2.0758,0.0100,1.1569,1,chill,1,3,0,6,0,2025-07-02T21:31:44.460547
131.0015,0.0539,22.3705,93.0000,7.8558,0.0870,0.1427,73.8613,25.4319,54.9297,54,3.2397,0.0060,0.5968,6,chill,1,3,0,6,0,2025-07-02T21:31:44.602811
80.0000,0.0712,2.7778,25.0000,2.5005,0.7125,0.3149,56.2200,5.7777,63.4600,29,1.1200,0.0999,1.3499,1,chill,1,1,0,5,0,2025-07-02T21:31:44.642187
150.0000,0.0333,5.0000,0.0000,3.3545,1.0141,0.8212,100.0000,0.0000,61.0938,29,3.2656,0.1263,1.3766,1,chill,1,2,0,5,0,2025-07-02T21:31:44.675400
